date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:20	319/-1	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2031%20May%202000%2010:36:29%20GMT	http://192.168.0.111/robots.txt		(from )
14:55:20	4045/4045	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202015%2018:07:13%20GMT	http://192.168.0.111/	/Users/sosborne/websites/audipad/192.168.0.111/index.html	(from )
14:55:21	20129/20129	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css	(from http://192.168.0.111/)
14:55:22	8849/8849	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202015%2018:07:14%20GMT	http://192.168.0.111/css/iPad.css	/Users/sosborne/websites/audipad/192.168.0.111/css/iPad.css	(from http://192.168.0.111/)
14:55:25	91342/91342	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Jan%201970%2000:00:25%20GMT	http://192.168.0.111/script/jquery/jquery-1.6.1.min.js	/Users/sosborne/websites/audipad/192.168.0.111/script/jquery/jquery-1.6.1.min.js	(from http://192.168.0.111/)
14:55:27	9452/9452	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Jan%201970%2000:00:25%20GMT	http://192.168.0.111/script/jquery/jquery-ui-1.8.13.custom.min.js	/Users/sosborne/websites/audipad/192.168.0.111/script/jquery/jquery-ui-1.8.13.custom.min.js	(from http://192.168.0.111/)
14:55:29	72682/72682	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:19%20GMT	http://192.168.0.111/images/b05-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/b05-P.png	(from http://192.168.0.111/)
14:55:29	61501/61501	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Jan%201970%2000:00:25%20GMT	http://192.168.0.111/script/jquery/jquery.mobile-1.0a4.1.min.js	/Users/sosborne/websites/audipad/192.168.0.111/script/jquery/jquery.mobile-1.0a4.1.min.js	(from http://192.168.0.111/)
14:55:31	3338/3338	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Jan%201970%2000:00:25%20GMT	http://192.168.0.111/script/jquery/jquery.timers-1.2.js	/Users/sosborne/websites/audipad/192.168.0.111/script/jquery/jquery.timers-1.2.js	(from http://192.168.0.111/)
14:55:31	743/743	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Jan%201970%2000:00:25%20GMT	http://192.168.0.111/script/button.js	/Users/sosborne/websites/audipad/192.168.0.111/script/button.js	(from http://192.168.0.111/)
14:55:32	12400/12400	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Jan%201970%2000:00:25%20GMT	http://192.168.0.111/script/info.js	/Users/sosborne/websites/audipad/192.168.0.111/script/info.js	(from http://192.168.0.111/)
14:55:33	997/997	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Jan%201970%2000:00:25%20GMT	http://192.168.0.111/script/time.js	/Users/sosborne/websites/audipad/192.168.0.111/script/time.js	(from http://192.168.0.111/)
14:55:34	2520/2520	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202015%2018:07:14%20GMT	http://192.168.0.111/systemoff-P.html	/Users/sosborne/websites/audipad/192.168.0.111/systemoff-P.html	(from http://192.168.0.111/)
14:55:35	7245/7245	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202015%2018:07:13%20GMT	http://192.168.0.111/lightl-P.html	/Users/sosborne/websites/audipad/192.168.0.111/lightl-P.html	(from http://192.168.0.111/)
14:55:38	8736/8736	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Jan%201970%2000:00:25%20GMT	http://192.168.0.111/script/event.js	/Users/sosborne/websites/audipad/192.168.0.111/script/event.js	(from http://192.168.0.111/)
14:55:39	104/104	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-bg_glass_100_f6f6f6_1x400.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-bg_glass_100_f6f6f6_1x400.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:40	125/125	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-bg_glass_100_fdf5ce_1x400.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-bg_glass_100_fdf5ce_1x400.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:41	105/105	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-bg_glass_65_ffffff_1x400.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-bg_glass_65_ffffff_1x400.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:42	129/129	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-bg_highlight-soft_75_ffe45c_1x100.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-bg_highlight-soft_75_ffe45c_1x100.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:43	260/260	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-bg_diagonals-thick_18_b81900_40x40.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-bg_diagonals-thick_18_b81900_40x40.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:45	4369/4369	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-icons_222222_256x240.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-icons_222222_256x240.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:45	4369/4369	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-icons_ffffff_256x240.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-icons_ffffff_256x240.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:47	4369/4369	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-icons_ef8c08_256x240.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-icons_ef8c08_256x240.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:47	4369/4369	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-icons_228ef1_256x240.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-icons_228ef1_256x240.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:49	4369/4369	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-icons_ffd27a_256x240.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-icons_ffd27a_256x240.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:49	251/251	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-bg_diagonals-thick_20_666666_40x40.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-bg_diagonals-thick_20_666666_40x40.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:51	178/178	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:16%20GMT	http://192.168.0.111/css/ui-lightness/images/ui-bg_flat_10_000000_40x100.png	/Users/sosborne/websites/audipad/192.168.0.111/css/ui-lightness/images/ui-bg_flat_10_000000_40x100.png	(from http://192.168.0.111/css/ui-lightness/jquery-ui-1.8.13.custom.css)
14:55:53	2055/2055	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:26%20GMT	http://192.168.0.111/images/style00001-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/style00001-P.png	(from http://192.168.0.111/css/iPad.css)
14:55:57	6542/6542	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:26%20GMT	http://192.168.0.111/images/style00000-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/style00000-P.png	(from http://192.168.0.111/css/iPad.css)
14:55:57	3032/3032	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:26%20GMT	http://192.168.0.111/images/style00003-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/style00003-P.png	(from http://192.168.0.111/css/iPad.css)
14:55:59	260673/260673	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:23%20GMT	http://192.168.0.111/images/kas-logo-full-2000px-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/kas-logo-full-2000px-P.png	(from http://192.168.0.111/)
14:55:59	2414/2414	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:26%20GMT	http://192.168.0.111/images/style00002-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/style00002-P.png	(from http://192.168.0.111/css/iPad.css)
14:55:59	2619/2619	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202015%2018:07:14%20GMT	http://192.168.0.111/css/systemoff-P.css	/Users/sosborne/websites/audipad/192.168.0.111/css/systemoff-P.css	(from http://192.168.0.111/systemoff-P.html)
14:56:00	4045/4045	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202015%2018:07:13%20GMT	http://192.168.0.111/iPad.html	/Users/sosborne/websites/audipad/192.168.0.111/iPad.html	(from http://192.168.0.111/systemoff-P.html)
14:56:01	24274/24274	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202015%2018:07:14%20GMT	http://192.168.0.111/css/lightl-P.css	/Users/sosborne/websites/audipad/192.168.0.111/css/lightl-P.css	(from http://192.168.0.111/lightl-P.html)
14:56:03	1999/1999	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:26%20GMT	http://192.168.0.111/images/style00005-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/style00005-P.png	(from http://192.168.0.111/css/lightl-P.css)
14:56:03	6243/6243	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:26%20GMT	http://192.168.0.111/images/style00004-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/style00004-P.png	(from http://192.168.0.111/css/lightl-P.css)
14:56:04	8916/8916	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:27%20GMT	http://192.168.0.111/images/style00058-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/style00058-P.png	(from http://192.168.0.111/css/lightl-P.css)
14:56:05	9102/9102	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202015%2018:07:27%20GMT	http://192.168.0.111/images/style00057-P.png	/Users/sosborne/websites/audipad/192.168.0.111/images/style00057-P.png	(from http://192.168.0.111/css/lightl-P.css)
